LinearRegression,BayesianRidge,SVR,SVR,KNeighborsRegressor,DecisionTreeRegressor,RandomForestRegressor,AdaBoostRegressor,MLPRegressor,MLPRegressor,Optimal,Average,Worst
0.44074985334132677,0.44048172095971283,0.4653829154534708,0.9879297707283425,0.8690435805014456,0.2117452557760476,0.3614332923704179,0.714482121489189,0.7857387640148985,0.6766111865009289,0.9879297707283425,0.500013014645853,0.2117452557760476
0.5374147493102498,0.5371675570379443,0.5445864370639454,0.6363895466547165,0.621363270829219,0.6539814660831245,0.6706357618531608,0.5873389417524595,0.597085412529356,0.5972735646153366,0.6706357618531608,0.5000850064243437,0.5000850064243437
0.334402392712596,0.3345384191058999,0.34533043255446927,0.40204042104882187,0.3676742389981568,0.23032987913044187,0.23600876875165502,0.3064354470597238,0.3558962118721769,0.3514105467584629,0.40204042104882187,0.5000699296243362,0.23032987913044187
0.05249849471605297,0.05257333875038118,0.05735913273584441,0.13332767942070736,0.08460346935966963,0.1581542474831365,0.13250288920646747,0.04887800749361672,0.05451403362205661,0.05238535675287119,0.1581542474831365,0.5000129670741573,0.04887800749361672
0.6966768687182345,0.6962724678726064,0.6749540925391071,0.5264837529866714,0.8184162957305914,0.551714921965557,0.7876499663399361,0.7004381980579888,0.697311592790552,0.7076864519778563,0.8184162957305914,0.5000985835223625,0.5000985835223625
0.6733613766944173,0.6753462677350579,0.6741268098311294,0.6936220031711996,0.7565833308092561,0.9629318569191914,0.7126244321628512,0.8480783889556881,0.7468190343369063,0.7108252994535839,0.9629318569191914,0.5000770023187373,0.5000770023187373
0.8508547314521028,0.847358429445808,0.9593106374002301,0.4035077361746807,0.43947368133152714,0.19073766723500055,0.27763754757120956,0.6091952322776713,0.547393332357234,0.5425715878693519,0.9593106374002301,0.5000419299645056,0.19073766723500055
0.6607692409266986,0.6625898431353022,0.6685868307605664,0.7339707655112626,0.7662373459248801,0.8589469990458928,0.5616309112211192,0.7750440872390316,0.8095937856823823,0.8107682862208276,0.8589469990458928,0.5000631178595195,0.5000631178595195
0.46088317991485567,0.4605811376283264,0.48460572945731084,0.4224914169335383,0.4831151819960684,0.33644977839720297,0.3508773417550081,0.6881833857390353,0.7723416968620802,0.68242705269891,0.7723416968620802,0.5000765113763294,0.33644977839720297
0.7881750466110938,0.7864083085066484,0.8124130788135423,0.602794339223299,0.7380997039293092,0.385417550413612,0.5410489658806045,0.7536243348866425,0.9732133904520889,0.955131540457697,0.9732133904520889,0.5000813933610074,0.385417550413612
0.6142940368780161,0.6137810244256712,0.6197398602081651,0.8729854259598753,0.6601807123904043,0.8921649625718447,0.9317252605311869,0.6201630647326014,0.647138745784873,0.6633044024168833,0.9317252605311869,0.5000360285901517,0.5000360285901517
