LinearRegression,BayesianRidge,SVR,SVR,KNeighborsRegressor,DecisionTreeRegressor,RandomForestRegressor,AdaBoostRegressor,MLPRegressor,MLPRegressor,Optimal,Medium,Worst
0.9075725202295348,0.9065656416565837,0.8036037922872776,0.7505714316679827,0.857300335816082,0.8877952402019437,0.8629076189692066,0.8281090417892331,0.8989726125386758,0.719326918237125,0.9075725202295348,0.5000852452473503,0.5000852452473503
0.8623132132435052,0.861663834720461,0.8915592145280712,0.9466811237969768,0.918145062413927,0.8593798074822787,0.8745569204774517,0.9961263445141265,0.9267766673357253,0.654207965174446,0.9961263445141265,0.5000584482997864,0.5000584482997864
0.6776197507728905,0.6785017728600968,0.769273587935203,0.9611670343510537,0.9165743516553123,0.8527712800600887,0.8527712800600887,0.8604045718754415,0.9383333739691371,0.7805670009369617,0.9611670343510537,0.5000597748870983,0.5000597748870983
0.5867137592887482,0.587735381071462,0.9719774066575552,0.9762054259112948,0.9675797815128292,0.7980116288521625,0.9409872232374993,0.9557412164379747,0.9519902753767306,0.5263939937477337,0.9762054259112948,0.500070252397256,0.500070252397256
0.6544926321267727,0.6541633032421155,0.5943526399176455,0.7098748275387785,0.9666519015350258,0.9888931990293337,0.9843135068890001,0.9272452487418361,0.9899903645737456,0.7174568438895991,0.9899903645737456,0.5000358690777565,0.5000358690777565
0.7212227066306632,0.7206962182209112,0.6266104369911402,0.8667342213898152,0.9780297446329762,0.9795063061529371,0.975950373553442,0.9952331117280516,0.9868467546410684,0.8109685952970486,0.9952331117280516,0.5000215617001902,0.5000215617001902
0.39968617903865306,0.3998711398934789,0.471058139490644,0.8994732564233041,0.8264976078434818,0.8413643960094744,0.807887196333693,0.8963169375387031,0.8468863489606078,0.47247864494832875,0.8994732564233041,0.5000320777504978,0.39968617903865306
0.5873267956638744,0.5881062064137689,0.6791222787276862,0.8109265150188231,0.7900797819504647,0.7953149012359052,0.7889668478507246,0.7861067733061332,0.844521329177666,0.7420234633486497,0.844521329177666,0.5000183044268663,0.5000183044268663
0.7594446024387261,0.7587921080738745,0.6440985697628124,0.9365386575630611,0.9878669175651602,0.9960807896057884,0.9790565470155828,0.9595373634639903,0.9725158999068314,0.8677963003492637,0.9960807896057884,0.5000189304255113,0.5000189304255113
0.7322595414894248,0.7331618996815754,0.7919614606237924,0.9928770028023547,0.8994612486631545,0.8132003824438783,0.849777505107498,0.9783025777389477,0.954928439776812,0.6687215371969917,0.9928770028023547,0.5000716701849943,0.5000716701849943
