Models,Ability
LinearRegression,0.523578016
BayesianRidge,0.5095939520000001
SVR,0.512783284
SVR.1,0.57076182
KNeighborsRegressor,0.5484402820000001
DecisionTreeRegressor,0.560274332
RandomForestRegressor,0.561256578
AdaBoostRegressor,0.5765360399999999
MLPRegressor,0.559371724
MLPRegressor.1,0.5670353560000001
Average,0.470208562
Optimal,0.6494787599999999
Worst,0.41714493199999997
