Models,Ability
LinearRegression,0.49558336950000015
BayesianRidge,0.48300188099999997
SVR,0.4668852737500001
SVR.1,0.50811353025
SVR.2,0.5203055435000001
SVR.3,0.50840245825
SVR.4,0.5267188154999999
SVR.5,0.5016582612499999
SVR.6,0.5292371597500001
SVR.7,0.49380002075
SVR.8,0.51546650975
SVR.9,0.5045113799999998
SVR.10,0.525790267
SVR.11,0.5024472022500001
SVR.12,0.4944449347500002
SVR.13,0.5190719432499998
SVR.14,0.47510605550000007
SVR.15,0.31245958875
SVR.16,0.27334393074999996
SVR.17,0.280905937
SVR.18,0.25251521050000003
SVR.19,0.2635262005000001
KNeighborsRegressor,0.50546472275
KNeighborsRegressor.1,0.4952133595
KNeighborsRegressor.2,0.48879664850000004
KNeighborsRegressor.3,0.48746424625000007
KNeighborsRegressor.4,0.49666548625000007
KNeighborsRegressor.5,0.4977958094999999
KNeighborsRegressor.6,0.4883010444999999
KNeighborsRegressor.7,0.5140301522499999
KNeighborsRegressor.8,0.4824723654999999
KNeighborsRegressor.9,0.5145006585
KNeighborsRegressor.10,0.48374370850000004
KNeighborsRegressor.11,0.50809873925
KNeighborsRegressor.12,0.5096432639999999
KNeighborsRegressor.13,0.4960352249999998
DecisionTreeRegressor,0.5011528510000001
DecisionTreeRegressor.1,0.5084401842499999
DecisionTreeRegressor.2,0.48290096925000003
DecisionTreeRegressor.3,0.5255999890000002
DecisionTreeRegressor.4,0.49616983575000007
DecisionTreeRegressor.5,0.5285017064999998
DecisionTreeRegressor.6,0.4930560407500001
DecisionTreeRegressor.7,0.5020312227499999
DecisionTreeRegressor.8,0.5034909825
DecisionTreeRegressor.9,0.522274508
DecisionTreeRegressor.10,0.5009380702499999
DecisionTreeRegressor.11,0.46593840500000017
DecisionTreeRegressor.12,0.4628490172500001
DecisionTreeRegressor.13,0.486390469
RandomForestRegressor,0.51654846475
RandomForestRegressor.1,0.4985391519999999
RandomForestRegressor.2,0.496933031
RandomForestRegressor.3,0.5158609679999999
RandomForestRegressor.4,0.5373521037500001
RandomForestRegressor.5,0.5109558812499999
RandomForestRegressor.6,0.4917825597500001
RandomForestRegressor.7,0.5135925975
RandomForestRegressor.8,0.51675083525
RandomForestRegressor.9,0.49642195125000005
RandomForestRegressor.10,0.5000940452499999
RandomForestRegressor.11,0.5065324285
RandomForestRegressor.12,0.49995097950000006
RandomForestRegressor.13,0.520176172
RandomForestRegressor.14,0.4750624307499999
RandomForestRegressor.15,0.49200915624999986
RandomForestRegressor.16,0.4952987535000001
RandomForestRegressor.17,0.49219260149999994
RandomForestRegressor.18,0.48427837925000006
RandomForestRegressor.19,0.49164342475
AdaBoostRegressor,0.49276705425000006
AdaBoostRegressor.1,0.5048935174999999
AdaBoostRegressor.2,0.45293837775000007
AdaBoostRegressor.3,0.48770159999999985
AdaBoostRegressor.4,0.52061703875
AdaBoostRegressor.5,0.46994975400000005
AdaBoostRegressor.6,0.5039304745
AdaBoostRegressor.7,0.47600972924999996
AdaBoostRegressor.8,0.4741914379999999
AdaBoostRegressor.9,0.52561127975
AdaBoostRegressor.10,0.48905226599999996
AdaBoostRegressor.11,0.50222029325
MLPRegressor,0.5012374769999999
MLPRegressor.1,0.5443953352499998
MLPRegressor.2,0.5336355795
MLPRegressor.3,0.5260860277500001
MLPRegressor.4,0.47076997625000006
MLPRegressor.5,0.4793264937499998
MLPRegressor.6,0.5028059584999999
MLPRegressor.7,0.4941777157500001
MLPRegressor.8,0.49349536049999987
MLPRegressor.9,0.5068927805
MLPRegressor.10,0.49920539974999995
MLPRegressor.11,0.477918988
MLPRegressor.12,0.4811752537499999
MLPRegressor.13,0.4798315047500001
MLPRegressor.14,0.5097573047499999
MLPRegressor.15,0.5160762002500001
Average,0.54146717225
Optimal,0.6439045817500001
Worst,0.26831239425
