20180071150,20180124674,2016036920,20180133717,20180035977,20180018671,20190176594,20180021597,11500456,20180024991,20180036277,20180056171,20180030470,20180036132,20180037176,20180039377,20180026190,20170026858,20180112931,20180132219,20180035832,20170106171,20180131516,20180038754,20180089379,20180022235,20170060555,20170166812,20180068753,20170061991,20170129523,20170173791,20180043852,20190074093,20160157990,20180104653,20170132538,20170156164,20170157822,20170024399,20170041157,20180034657,20160131081,20170161173,20160155708,11410085,20180098000,20170111583,20170200825,20180064979,20180034817,20170008072,20170032470,20180039770,11316792,2016091921,20170012816,20180037917,20180102238,20170168970,20180035430,20170006210
0,0,7,0,1,1,0,1,1,0,2,3,1,1,4,0,0,0,1,0,0,7,0,1,0,8,3,2,1,0,0,1,0,0,2,0,1,8,0,1,2,0,1,0,1,1,0,1,0,1,2,5,1,1,1,0,1,1,0,3,0,0
0,0,2,2,0,1,1,2,0,1,2,2,0,2,4,1,1,1,3,1,1,4,0,1,4,5,3,2,3,2,0,0,0,0,2,2,1,5,1,0,5,2,1,0,2,2,1,3,1,0,0,2,0,1,1,0,1,0,0,3,0,1
0,0,3,1,0,3,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0
1,3,8,8,5,2,0,2,6,2,8,8,8,8,8,0,0,2,3,1,2,8,1,5,3,8,8,8,8,3,2,3,2,2,4,8,8,8,3,3,8,3,8,2,5,8,8,1,2,2,2,5,7,2,4,2,2,0,2,5,8,8
0,7,7,7,7,2,1,2,1,1,7,7,7,7,7,1,1,2,2,1,0,7,1,3,2,7,7,2,7,2,1,1,1,0,2,7,7,7,2,1,7,2,7,1,7,7,7,1,1,7,7,3,7,2,7,1,1,2,0,6,7,7
1,5,5,5,5,1,1,4,4,1,5,5,5,5,5,2,1,2,4,1,2,5,1,5,3,5,5,5,5,5,5,3,2,2,2,5,5,5,3,2,5,3,5,3,5,5,5,3,5,5,5,5,5,2,5,2,4,2,2,5,5,5
0,3,6,2,0,0,0,3,6,1,1,6,6,3,2,0,1,3,3,1,0,6,0,4,3,2,3,3,4,5,2,1,2,3,3,6,6,3,3,5,4,5,3,3,5,5,1,3,4,1,2,6,6,4,5,4,6,6,6,6,1,6
0,2,6,2,1,2,1,1,6,0,3,6,6,3,1,0,1,1,1,2,0,6,1,6,3,6,2,2,4,4,0,0,1,1,3,6,6,1,4,4,3,4,6,0,5,3,4,2,1,1,0,6,6,1,6,3,6,6,6,6,0,6
0,6,6,6,2,3,1,6,6,0,1,6,6,3,1,0,0,3,3,3,1,6,2,0,0,6,3,4,3,4,1,3,1,1,5,4,6,2,2,3,3,3,6,4,3,6,6,2,4,0,4,3,5,1,6,6,1,6,6,3,3,6
0,2,5,5,1,3,0,5,5,0,0,5,5,4,0,0,2,1,2,2,0,5,1,2,1,5,1,5,3,5,0,5,1,1,4,5,5,0,1,2,3,1,5,5,5,5,5,2,4,0,4,5,1,0,5,5,5,5,5,4,3,5
0,2,6,6,2,2,0,6,6,0,2,6,6,1,0,0,0,1,2,1,0,6,3,2,0,6,2,6,3,6,0,1,1,1,4,4,6,0,0,2,1,1,6,6,6,6,6,2,5,2,4,6,1,0,6,6,6,6,6,3,6,6
0,6,6,6,2,2,0,6,6,1,6,6,6,1,1,1,0,1,2,6,1,6,2,6,1,6,1,6,3,6,0,6,1,6,6,6,6,0,0,2,6,6,6,6,6,6,6,2,5,0,4,6,3,0,6,6,6,6,6,4,6,6
