20180047593,20180071150,20180124674,20180133717,20180036437,20180035977,20180018671,20190176594,20180021597,20180024991,20180036277,20180030470,20180036132,20180037176,20180039377,20180026190,20170026858,20180112931,20180132219,20180035832,20180131516,20180038754,20180089379,20170060555,20170166812,20180068753,20170061991,20170129523,20170173791,20180043852,20190074093,20160157990,20180104653,20170132538,20170156164,20170157822,20170024399,20170041157,20180034657,20170161173,20160155708,11017241,20180098000,20170111583,20170200825,20180064979,20160150710,20180161794,20180034817,20170008072,20170032470,20180039770,2016091921,20170012816,20180037917,20170077131,20180102238,20170168970,20180035430,20170006210
1,0,0,2,1,2,0,1,2,0,1,0,2,1,0,1,1,1,1,0,0,0,0,3,1,3,1,0,1,0,1,0,2,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,2,1,0,1,1,1,3,1,1,1,4
2,0,2,2,1,1,0,1,1,0,1,1,2,6,0,0,2,2,1,2,0,1,1,3,1,2,2,1,2,1,1,1,1,5,1,1,0,1,1,1,1,0,0,1,2,1,1,1,1,3,1,0,1,1,2,1,1,2,2,4
1,0,0,1,2,2,1,1,1,0,1,0,1,1,0,0,1,1,2,0,1,1,0,2,1,3,1,0,1,0,0,1,1,5,1,1,1,1,1,5,1,2,0,0,1,1,2,1,1,1,1,2,0,2,1,5,1,2,0,4
4,0,1,1,1,1,2,0,2,0,1,1,4,3,0,1,1,0,0,1,1,2,2,2,5,1,2,0,1,0,1,1,6,1,2,3,2,4,1,2,2,1,0,1,2,2,1,5,1,3,3,1,1,1,0,3,2,1,2,4
3,0,1,1,1,0,1,0,2,0,0,1,3,3,0,1,1,1,0,0,1,1,1,6,2,0,2,0,1,0,0,4,6,1,4,2,1,5,2,0,3,3,0,1,2,0,0,5,0,3,1,1,1,0,1,6,1,2,1,4
3,1,0,2,6,1,2,1,3,0,1,0,5,6,1,0,3,2,2,0,1,2,1,6,6,2,2,0,0,0,0,1,6,3,3,2,2,6,1,2,0,2,1,2,0,0,1,6,0,6,4,0,6,0,0,6,1,2,2,5
7,0,1,1,0,1,0,0,4,0,1,0,7,1,0,0,7,0,0,0,0,1,1,7,4,7,2,1,1,0,0,0,7,0,1,2,2,7,1,7,3,2,2,1,1,1,1,0,1,3,3,1,1,1,0,3,1,1,0,6
7,0,2,7,2,7,1,1,3,0,0,2,7,7,0,0,7,3,3,2,3,3,2,7,7,7,7,1,7,0,1,1,7,7,7,2,1,7,3,7,3,1,7,7,7,7,2,7,0,2,7,1,7,7,0,7,7,1,1,6
7,0,0,7,7,7,2,0,3,0,1,2,7,0,0,0,7,1,0,0,7,0,7,7,4,7,7,0,7,0,0,1,7,7,2,1,1,7,2,7,7,0,7,7,7,7,1,1,1,4,7,0,7,1,0,7,7,7,1,6
6,0,1,1,1,1,1,0,4,0,1,0,6,1,0,1,2,2,0,0,0,1,1,6,5,6,2,1,1,0,0,2,6,1,4,2,1,6,1,3,3,1,6,2,6,1,1,2,0,4,3,1,1,2,2,3,1,3,0,5
6,1,1,1,3,1,1,0,4,0,0,1,6,2,0,0,1,0,2,1,2,1,1,6,5,6,2,6,2,0,0,0,6,6,2,1,1,6,0,3,2,0,6,1,6,1,0,1,1,1,2,1,1,1,0,6,1,2,1,4
6,0,1,6,3,3,0,1,4,0,3,0,6,2,0,0,6,2,4,1,6,0,1,6,6,6,4,1,1,0,1,0,6,6,3,2,0,6,0,2,1,1,6,3,6,1,1,2,2,1,4,0,6,1,0,6,1,1,1,5
