2016094066,20170061991,20170110906,11219029,20170073517,20160157990,20170109549,20170059053,11500456,20170109941,20170023631,20180065054,20160155708,11410085,20170195538,11514190,20170026858,20170078596,20170062578,11508019,20170009712,2016066320,20170160793,20180161810,20180161794,20170108078,2016088480,11316792,2016077860,11511649,20160125825
1,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,3,1,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,1,0,1
0,1,1,1,1,1,0,2,1,0,1,1,1,0,1,0,1,1,1,1,1,2,0,1,2,1,0,1,1,2,1
3,3,0,3,0,5,0,4,5,0,2,1,4,1,0,1,2,2,1,2,2,3,3,2,1,2,2,0,2,3,6
0,3,1,2,0,2,1,2,3,0,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,2,0,0,3,2,3
0,4,1,4,0,4,2,2,4,0,4,2,2,1,1,0,1,3,3,2,3,4,2,1,4,4,0,2,4,4,4
4,4,0,4,1,2,0,2,2,2,4,4,4,2,4,4,2,2,2,4,4,4,4,0,1,4,1,4,4,4,3
4,4,0,4,1,1,0,0,1,1,4,4,4,1,4,4,1,4,1,4,4,4,4,0,1,4,4,4,4,4,3
4,4,0,4,0,1,0,1,1,1,4,4,4,1,4,4,1,4,1,4,4,4,4,0,1,4,4,4,4,4,3
3,3,0,3,0,1,0,0,1,1,3,3,3,1,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,2
1,4,2,3,0,3,0,2,3,0,0,2,4,3,3,2,0,3,4,4,2,4,2,2,2,4,1,4,4,4,4
