FA2,FA,IRT
3.5172546991418376,2.6272519640676393,1.590392021869135
4.008038352408521,2.1472896149434426,1.6908221497181013
4.220975007733932,2.1331972691169776,1.70077894220774
3.595300914168928,2.1111161427663716,1.9814148779634975
3.6245735511765007,2.108132685891163,2.0899717005367284
3.870320109349288,2.1999931170795994,1.803646956016823
4.304972636196569,2.320774275172218,1.878997443480542
4.112631494415002,2.178802369043281,1.7829918171427939
3.017094022579437,2.1858089119754416,1.7475638455099967
4.199168424313045,2.1814693745115115,1.6434220816780543
2.2317138355128177,2.1575931248954,1.6570176568769512
3.8168017125265155,2.531855355554807,1.7481638989288304
2.464930289678187,5.545777966575412,1.8881012131209047
3.4760125840422322,2.190388059025235,1.7860740569433862
3.385523226206681,2.0980999993181078,1.6251923858520785
2.1180867931610114,2.152397928307564,1.7322297312793389
4.146760674144478,2.18304639641398,1.7376035838723682
2.151745860901368,2.152143177617001,1.7920041637327397
2.323331338715266,2.520783829010548,1.8158828964872724
2.892679357908391,2.0937849228776155,1.668585772454442
3.8980002708301744,2.1408893097720583,2.2702116674814854
4.121807183265149,2.062559491442806,1.8367646443305925
3.034984608636254,2.636507277859147,1.670912363209499
3.1870168710018145,2.7032264312710286,1.7477450775942294
2.5231286939782986,2.185899398982163,1.6065802246375156
3.451945987439588,2.1414047139368013,1.8558232058272306
3.735894628904944,2.1822263209804427,1.656294905576299
3.701024195823117,2.158521233400771,1.7677303321686488
2.498789699711306,2.146927577095286,1.6938010584660383
2.530167771304817,2.1025898029009777,1.6812504732159987
2.123530598125605,2.610919077939194,1.665433071795763
3.009117589939343,2.173226217625275,1.7052861230289915
3.1088214527537668,2.75204450911175,1.8576215552087403
2.182351721792124,2.714944572794587,1.7453184123282508
3.1491649095037246,2.8273692560511123,1.8632381854833895
2.14655155586367,2.3713900853450305,1.732977413111054
2.5419719543120944,2.516043486736434,1.8666865189945399
3.1162545029611453,2.1141247952330957,1.8255636920767842
2.3313065481828454,2.605610250101651,1.7412860794117502
2.035986174677754,2.1072725648491093,1.5484970855982514
2.8166308925425003,2.549199057702517,1.9156720793709558
3.4013723165192236,2.2336459347792115,1.7666386418475168
3.9253405860407646,2.2282217829304534,1.8118184328023381
2.937874398832122,2.1840576745237605,1.6705654316588125
2.0523707439780035,2.1434243744789945,1.6446788173640057
3.0144996998426734,2.105243656708346,1.8297491574361542
2.5761765148218,2.538330607484517,1.751369747643564
4.421522864491118,2.651167409181479,1.6278472093371985
3.264557221662865,2.1303957773322457,1.658703505618925
3.314901131833982,2.0634842039363672,1.7567427345023805
3.9436707804638917,2.218291772913307,1.8009294406097207
2.3304158774706627,2.192027232265116,1.8448655035566552
2.8883613453839927,2.4443180949659142,1.8166761029631338
2.336952798179257,2.1046714285271197,1.6773012550101176
2.5345914556862184,2.112419120949959,2.453067698292089
2.8538254052163032,2.211771476316782,1.7958891882761558
3.3716055531630285,2.0964415146504995,1.6945201324585493
2.2869244442949146,2.1714766744125837,1.7340223015680059
3.1350120572238644,2.0767296923341902,1.7278541090003956
2.1956369623260774,2.146811720734921,1.7179530172130408
2.103145506954922,2.1483867293947014,1.8790090271054076
3.0050785850082686,2.1944718409346584,1.913407046440062
2.3184487987025646,2.490149001785085,1.7714880180392543
2.7845042079099445,2.595315694653594,1.7345629819657202
3.329081363105356,2.9055495524912365,1.7332520718802242
2.6118793524182773,2.6090361272304214,1.61027653282781
2.1970124612237427,2.3575649461836683,1.8946396793928497
2.0960834302451223,2.1123377554247877,1.6859334236502062
2.2409413673048317,2.1739295572325092,1.6900379737517384
3.431972223323048,2.0872451581148934,1.6786166164523384
4.134489190978563,2.7361630388464584,1.9422806169730662
3.4932909553737503,2.1667421272520437,1.7255866669960032
2.2547827203904127,2.179195339164377,1.6837063460845312
2.981939627488203,2.1897681587287074,1.7078363951020334
3.0432315722902405,2.1952603517550617,1.801890483035336
3.9910164252049976,2.275034851781866,1.7129668403659113
3.5242120023080816,2.0999496891561877,1.8491664153284242
2.4133752524163032,2.284110774535424,1.6316887447960156
2.284971590713851,2.118174148041252,1.8102256463462258
2.562792230476542,2.1924932790005744,1.7772967489739733
2.961515791257151,2.2124190249858104,1.9300039591234812
3.2491446686451786,2.11663637107088,1.8791592475989392
3.101603344698918,2.630966498469423,1.720559451834097
2.6876165581714564,2.076718446935248,1.7089048620868377
3.4549348798513733,2.0862993507168373,1.9008887503078706
4.014355931588989,2.118998782873301,1.7706701824077449
2.765254379354207,2.1127499069676348,1.687288435195197
3.094056775259542,2.1543511443575194,1.6977344654296058
2.6709409855618826,2.240321302925497,1.6117658277863487
3.3140799186092114,2.805749594958195,1.678009484926114
2.4987822723485733,2.2123495896422165,3.2049773887791195
2.1109225971046133,2.1919156129615742,1.6564875124769582
2.6803557640687017,2.1803497142966335,1.762913634551456
3.00228345625571,2.1652797676613216,1.7410073622565267
2.382628855997015,2.3600586703635438,1.7183708220427172
4.014695601228267,2.180530453485134,1.7341389883059493
4.246110095211176,2.219311055737155,1.6406349006325605
2.4470171592605796,2.0661098454781115,1.7970153633624273
3.5815845832122664,2.1210812492059046,1.9556639191857972
2.2975971105003445,2.180529510390432,1.8272814016986207
