FA2,FA,IRT,dataset,M,N
2.9886338132640087,2.956017012769259,1.7679131981053242,errors-3,49,7
2.9148008142790354,2.5511918389825587,1.7602528922979972,errors-3,49,7
3.700364107175015,2.4508065775362304,1.6750754045263232,errors-3,49,7
2.204614189375985,2.1969936510385537,1.9349726718779139,errors-3,49,7
4.65687298968073,2.280945300530705,1.626708593471029,errors-3,49,7
2.830068879911637,2.166543238643636,1.7232299537770883,errors-3,49,7
4.70722745764661,2.1670680742067807,1.7715161212649377,errors-3,49,7
2.5326896801104253,2.1547283243736155,1.8322757469911317,errors-3,49,7
3.3717162442940083,2.1157823086026646,3.109103750468067,errors-3,49,7
2.2977715833385624,2.155766325935452,1.8684799876041003,errors-3,49,7
2.411672285155958,2.1962543781136796,1.7244147646346186,errors-3,49,7
3.196894841190046,2.0873591344798106,1.7369104632205017,errors-3,49,7
2.0632296756207937,2.0816793749997675,1.6137860005466234,errors-3,49,7
2.2367952602135723,2.5909251600945193,1.7991594173364178,errors-3,49,7
3.496067236788738,2.1126374659254656,1.8487581039841392,errors-3,49,7
3.0953465611680553,2.11794393030243,1.8147305052312483,errors-3,49,7
2.524044657671701,2.139907949449916,1.7874031641776973,errors-3,49,7
3.0390403099133527,2.3845697091837854,1.5201618236397965,errors-3,49,7
2.4846251516613713,2.431258961170478,1.781898671059148,errors-3,49,7
3.529750018441545,2.1141046379603847,1.7845655700377254,errors-3,49,7
2.650706737209854,2.235753611191699,1.727839473584552,errors-3,49,7
2.1451980384223694,2.1283472232031517,1.7593833872579863,errors-3,49,7
3.294348116101439,2.2304388297244553,1.7816855177296855,errors-3,49,7
3.2268385998014018,2.142363642032137,1.7977937948933076,errors-3,49,7
4.617983483831491,2.4386350091893485,1.6259785669146116,errors-3,49,7
2.077277637900262,2.1408896640170756,1.6513340139148582,errors-3,49,7
3.0683102546775203,2.0647889433042383,1.6862211849933895,errors-3,49,7
2.693169035815997,2.2032045577585837,1.7284477614754796,errors-3,49,7
2.5356281060320933,2.581582449974741,1.7288834217192346,errors-3,49,7
