Models,Ability
LinearRegression,0.49524040074999987
BayesianRidge,0.48289912700000004
SVR,0.46599719775000015
SVR.1,0.5071702682499999
SVR.2,0.5195066014999998
SVR.3,0.50804463
SVR.4,0.52640525875
SVR.5,0.5020494342499999
SVR.6,0.5282152697500002
SVR.7,0.4915597465
SVR.8,0.5147350445
SVR.9,0.5037049094999999
SVR.10,0.5254074980000001
SVR.11,0.5016443199999999
SVR.12,0.4933221005000001
SVR.13,0.51634361575
SVR.14,0.47271970750000003
SVR.15,0.313361714
SVR.16,0.27350628174999997
SVR.17,0.280735516
SVR.18,0.25309618224999997
SVR.19,0.263120521
KNeighborsRegressor,0.505604297
KNeighborsRegressor.1,0.4969022100000001
KNeighborsRegressor.2,0.4914668407500001
KNeighborsRegressor.3,0.488936704
KNeighborsRegressor.4,0.49792101349999995
KNeighborsRegressor.5,0.49776795625000003
KNeighborsRegressor.6,0.48758407424999994
KNeighborsRegressor.7,0.5152728034999999
KNeighborsRegressor.8,0.48327240624999995
KNeighborsRegressor.9,0.51680528
KNeighborsRegressor.10,0.4820456295000001
KNeighborsRegressor.11,0.5079140557499999
KNeighborsRegressor.12,0.5101762910000001
KNeighborsRegressor.13,0.4952341592500001
DecisionTreeRegressor,0.5005092852499999
DecisionTreeRegressor.1,0.51120273475
DecisionTreeRegressor.2,0.4833847815
DecisionTreeRegressor.3,0.5241311995
DecisionTreeRegressor.4,0.4957435705
DecisionTreeRegressor.5,0.5306166155
DecisionTreeRegressor.6,0.49377731925000007
DecisionTreeRegressor.7,0.50323128875
DecisionTreeRegressor.8,0.5052263302500001
DecisionTreeRegressor.9,0.5206815615000001
DecisionTreeRegressor.10,0.5027150742500001
DecisionTreeRegressor.11,0.4651694
DecisionTreeRegressor.12,0.46132735374999995
DecisionTreeRegressor.13,0.48449001599999997
RandomForestRegressor,0.51703370475
RandomForestRegressor.1,0.49779590225000014
RandomForestRegressor.2,0.49629005525
RandomForestRegressor.3,0.51518017825
RandomForestRegressor.4,0.5368518152499999
RandomForestRegressor.5,0.5123558865
RandomForestRegressor.6,0.49394103675
RandomForestRegressor.7,0.5116727472499998
RandomForestRegressor.8,0.51576239175
RandomForestRegressor.9,0.49628643199999994
RandomForestRegressor.10,0.5003967172499999
RandomForestRegressor.11,0.508570299
RandomForestRegressor.12,0.5053307960000002
RandomForestRegressor.13,0.5214198997499999
RandomForestRegressor.14,0.4729588697499999
RandomForestRegressor.15,0.4922057027500001
RandomForestRegressor.16,0.4974885517500002
RandomForestRegressor.17,0.49245172000000004
RandomForestRegressor.18,0.48823234525
RandomForestRegressor.19,0.4950649434999998
AdaBoostRegressor,0.49192138174999994
AdaBoostRegressor.1,0.5051562070000001
AdaBoostRegressor.2,0.45105996075
AdaBoostRegressor.3,0.48741305500000004
AdaBoostRegressor.4,0.52161142425
AdaBoostRegressor.5,0.47140079325000006
AdaBoostRegressor.6,0.5036773347500001
AdaBoostRegressor.7,0.47737866575
AdaBoostRegressor.8,0.47461847949999986
AdaBoostRegressor.9,0.5258559689999998
AdaBoostRegressor.10,0.4885628224999999
AdaBoostRegressor.11,0.50186946275
MLPRegressor,0.5014370545000001
MLPRegressor.1,0.5449375815000002
MLPRegressor.2,0.5332650065
MLPRegressor.3,0.526008781
MLPRegressor.4,0.4706126499999999
MLPRegressor.5,0.4775638325
MLPRegressor.6,0.5028783502499998
MLPRegressor.7,0.49397868874999984
MLPRegressor.8,0.491964677
MLPRegressor.9,0.5065199557500001
MLPRegressor.10,0.499470524
MLPRegressor.11,0.4780612154999999
MLPRegressor.12,0.48122059300000003
MLPRegressor.13,0.4779993899999999
MLPRegressor.14,0.5098396017500001
MLPRegressor.15,0.51569850725
Average,0.54222114725
Optimal,0.6420856175000001
Worst,0.2677842855
