LinearRegression,BayesianRidge,SVR,SVR.1,KNeighborsRegressor,DecisionTreeRegressor,RandomForestRegressor,AdaBoostRegressor,MLPRegressor,MLPRegressor.1,Average,Optimal,Worst
0.9029248918047681,0.9019308287445087,0.8024921488702772,0.8544226104649482,0.85323317815663,0.8840691550641429,0.8817866587107865,0.8195090767599421,0.8848900888357238,0.8893088794613622,0.5000529282920289,0.9032265520189791,0.5000529282920289
0.8584144346363946,0.8577719257971934,0.8950416261229275,0.9337791921879802,0.9254373917811737,0.8605964580545903,0.926541411348081,0.9669579095195224,0.9463816520468693,0.9371284371456812,0.5000519903194675,0.9775054677784416,0.5000519903194675
0.6784660952882821,0.6793524004876538,0.765908078334728,0.9547396819915346,0.9176880725625572,0.8590084248682835,0.8856183124083115,0.8726932331207664,0.9329299844177703,0.9509700896761004,0.5000424835106538,0.9594705590890305,0.5000424835106538
0.5951924122204721,0.5962326279387609,0.9540746074539392,0.937804569070906,0.9408613184569307,0.7920480583387689,0.8897535109495862,0.9160930434688985,0.9528019603824849,0.9480698922617471,0.5000469404759307,0.9848329824448848,0.5000469404759307
0.654002847869188,0.6536736041752331,0.5935179333330478,0.966274207329168,0.9682047001902594,0.9884364479974653,0.9837404118833784,0.9367497979491647,0.9857997732328923,0.9811007788669924,0.5000475549727325,0.9943093935440682,0.5000475549727325
0.7207730480738588,0.7202459983249475,0.6254412672178271,0.9807472836296073,0.9769174740043249,0.975036006749086,0.973904207646583,0.9840805824826842,0.9843887622476387,0.9866188703063704,0.5000503867040829,0.9954261354765412,0.5000503867040829
0.4002267212881788,0.4004115196256272,0.4735227723189094,0.8520900415570581,0.8214339707004454,0.7093830582299301,0.7575354285017475,0.9201762381573932,0.8555525273994238,0.8825977190331689,0.5000590237088993,0.9252902298286984,0.4002267212881788
0.5827024590243155,0.5834784817474545,0.6704142110857862,0.8239695543839766,0.7852399874929247,0.7936881885261848,0.7628429207328743,0.7818031074756167,0.8422212556667006,0.8320541305431753,0.5000475578296794,0.8451648551824963,0.5000475578296794
0.7596817861880205,0.7590259681045867,0.6430504947984833,0.9410013226927744,0.9834633006891048,0.9332426516616253,0.9561007368132508,0.9587769002742382,0.9715860042872425,0.9631751069755495,0.5000515327693621,0.9846926689306214,0.5000515327693621
0.7308847973265042,0.7317887210322199,0.7848045072980908,0.9521238531014475,0.8953394623232548,0.9441830631119821,0.9174575460567842,0.9517505199770977,0.9395634184111916,0.952221046989812,0.5000486621971961,0.9797822368864795,0.5000486621971961
0.4244661289614422,0.4246194812174379,0.485032124298033,0.7500474383532149,0.7329382192773228,0.6910131659345905,0.6980036149082389,0.7825409776286609,0.7513306480985082,0.7684485867178006,0.5000575613274809,0.7878033862759302,0.4244661289614422
